0,1,2
316,236,incongruous
336,221,inconsistent
348,164,inconsistent
355,183,cold
390,144,cold
425,141,cold
430,169,warm
467,156,incongruous
492,149,inconsistent
516,162,cold
554,211,cold
568,178,inconsistent
603,143,inconsistent
619,163,inconsistent
650,156,inconsistent
715,180,inconsistent
719,139,cold
746,218,incongruous
772,152,warm
815,216,warm
848,214,both
867,214,inconsistent
893,139,cold
897,171,inconsistent
900,205,inconsistent
912,138,incongruous
933,206,warm
938,157,inconsistent
186,171,cold
208,146,cold
219,185,warm
233,151,warm
288,163,inconsistent
321,243,cold
329,159,both
351,259,cold
355,227,inconsistent
381,248,cold
619,176,both
627,198,both
664,182,both
665,229,both
685,219,cold
697,191,inconsistent
705,214,inconsistent
717,200,inconsistent
742,236,cold
790,222,both
793,241,cold
864,229,both
884,208,cold
885,134,cold
894,115,inconsistent
901,130,inconsistent
907,190,inconsistent
930,123,cold
934,150,both
765,183,inconsistent
776,163,inconsistent
894,157,incongruous
922,148,cold
922,177,inconsistent
925,214,inconsistent
944,141,inconsistent
954,157,inconsistent
188,140,cold
212,185,inconsistent
261,143,cold
297,111,both
302,165,inconsistent
324,132,cold
332,169,inconsistent
359,160,inconsistent
381,174,both
394,217,both
417,167,both
465,231,cold
465,260,both
507,260,cold
516,148,incongruous
533,163,cold
566,277,inconsistent
574,256,both
605,143,cold
608,273,cold
612,164,cold
636,274,inconsistent
640,178,inconsistent
642,135,inconsistent
653,159,incongruous
695,169,cold
716,150,cold
735,168,inconsistent
753,193,inconsistent
763,223,inconsistent
785,131,incongruous
789,161,inconsistent
797,197,cold
827,152,both
856,159,cold
870,202,cold
879,160,inconsistent
881,136,cold
895,194,incongruous
898,157,inconsistent
907,208,cold
922,219,inconsistent
927,204,inconsistent
958,160,inconsistent
980,185,cold
